Month,OP_UNIQUE_CARRIER,on_time_rate_pct
1,9E,78.95
1,AA,77.89
1,AS,79.28
1,B6,73.99
1,DL,80.04
1,F9,65.63
1,G4,72.2
1,HA,78.55
1,MQ,77.39
1,NK,71.64
1,OH,85.74
1,OO,77.15
1,UA,77.36
1,WN,80.56
1,YX,84.0
2,9E,87.07
2,AA,78.9
2,AS,77.99
2,B6,73.75
2,DL,84.4
2,F9,70.78
2,G4,77.53
2,HA,75.05
2,MQ,84.1
2,NK,76.63
2,OH,88.67
2,OO,81.82
2,UA,79.88
2,WN,84.66
2,YX,86.26
3,9E,85.5
3,AA,73.84
3,AS,78.44
3,B6,67.52
3,DL,79.25
3,F9,66.53
3,G4,65.77
3,HA,61.35
3,MQ,78.15
3,NK,65.93
3,OH,85.2
3,OO,80.39
3,UA,78.33
3,WN,76.75
3,YX,86.71
4,9E,85.35
4,AA,74.86
4,AS,79.07
4,B6,67.94
4,DL,82.27
4,F9,67.47
4,G4,73.79
4,HA,58.69
4,MQ,81.21
4,NK,63.97
4,OH,83.81
4,OO,86.18
4,UA,77.25
4,WN,75.16
4,YX,85.55
5,9E,92.5
5,AA,79.52
5,AS,84.42
5,B6,76.3
5,DL,87.65
5,F9,68.33
5,G4,79.23
5,HA,64.17
5,MQ,85.42
5,NK,75.21
5,OH,88.53
5,OO,87.31
5,UA,79.28
5,WN,80.06
5,YX,92.85
6,9E,83.89
6,AA,69.77
6,AS,77.81
6,B6,63.73
6,DL,77.21
6,F9,56.86
6,G4,71.78
6,HA,79.61
6,MQ,77.67
6,NK,61.6
6,OH,75.68
6,OO,83.71
6,UA,69.43
6,WN,71.08
6,YX,82.16
7,9E,80.03
7,AA,68.59
7,AS,78.91
7,B6,53.87
7,DL,76.53
7,F9,56.79
7,G4,66.72
7,HA,84.18
7,MQ,79.29
7,NK,62.96
7,OH,72.15
7,OO,82.88
7,UA,68.24
7,WN,69.48
7,YX,76.77
8,9E,84.31
8,AA,74.94
8,AS,80.24
8,B6,64.19
8,DL,81.45
8,F9,66.12
8,G4,73.57
8,HA,84.47
8,MQ,84.62
8,NK,67.41
8,OH,81.14
8,OO,84.62
8,UA,80.8
8,WN,77.77
8,YX,87.94
9,9E,84.84
9,AA,79.88
9,AS,83.02
9,B6,63.26
9,DL,86.45
9,F9,73.25
9,G4,78.57
9,HA,90.07
9,MQ,83.05
9,NK,76.71
9,OH,84.21
9,OO,84.69
9,UA,82.93
9,WN,80.81
9,YX,85.14
10,9E,92.61
10,AA,83.74
10,AS,86.18
10,B6,74.64
10,DL,91.03
10,F9,75.19
10,G4,79.88
10,HA,78.87
10,MQ,84.1
10,NK,81.66
10,OH,87.21
10,OO,86.11
10,UA,87.7
10,WN,81.09
10,YX,92.97
11,9E,92.13
11,AA,85.5
11,AS,83.84
11,B6,77.83
11,DL,91.68
11,F9,80.5
11,G4,81.75
11,HA,85.77
11,MQ,86.2
11,NK,76.67
11,OH,87.76
11,OO,87.03
11,UA,89.4
11,WN,86.77
11,YX,94.31
12,9E,88.88
12,AA,82.88
12,AS,82.85
12,B6,72.37
12,DL,90.66
12,F9,78.55
12,G4,81.04
12,HA,85.49
12,MQ,86.11
12,NK,76.44
12,OH,86.29
12,OO,85.36
12,UA,86.98
12,WN,83.47
12,YX,91.59
