Month	OP_UNIQUE_CARRIER	ARR_DELAY	CARRIER_DELAY	WEATHER_DELAY	NAS_DELAY	LATE_AIRCRAFT_DELAY
4	DL	0				
2	DL	-10				
1	NK	-4				
6	AS	13				
2	DL	-16				
5	UA	-24				
6	HA	21	15	0	0	6
3	NK	20	0	0	20	0
12	WN	-19				
1	DL	-7				
6	AS	8				
10	WN	80	0	0	0	80
5	OO	11				
6	G4	-5				
7	OO	-10				
3	UA	-20				
4	UA	-9				
5	9E	-8				
7	WN	34	3	0	9	22
3	G4	160	0	0	121	39
6	AS	-9				
6	WN	5				
11	UA	-13				
12	OO	-35				
12	WN	7				
3	B6	844	753	0	0	91
1	UA	5				
11	WN	18	16	0	2	0
12	WN	-4				
1	AA	-2				
10	YX	-14				
10	WN	14				
10	9E	-10				
1	NK	-36				
2	WN	-2				
11	WN	-18				
9	WN	-13				
10	UA	16	0	0	3	13
3	DL	2				
6	F9	41	41	0	0	0
12	AS	56	40	0	16	0
8	AA	-25				
5	OO	-10				
11	9E	-8				
9	9E	-16				
4	AS	1				
7	YX	-9				
6	UA	108	9	0	0	99
12	AA	76	76	0	0	0
6	DL	-6				
10	UA	-32				
4	DL	6				
5	UA	30	0	0	30	0
6	AA	-23				
4	MQ	16	16	0	0	0
7	OO	1				
7	HA	44	44	0	0	0
9	AA	11				
12	AA	-26				
5	DL	13				
7	AA	-9				
7	WN	3				
8	DL	-14				
4	DL	-26				
4	WN	-14				
10	WN	-5				
10	UA	-9				
5	F9	-18				
2	MQ	26	0	0	26	0
1	NK	-4				
5	OO	-7				
10	DL	-18				
12	WN	-2				
5	UA	36	26	0	0	10
2	9E	-9				
6	DL	-39				
9	MQ	118	0	0	99	19
7	AS	2				
3	NK	-12				
8	F9	7				
5	NK	1				
4	WN	70	0	0	25	45
8	AS	-17				
12	YX	-40				
1	AA	-5				
9	DL	-34				
8	OO	-14				
8	F9	-1				
11	DL	-43				
2	AA	-1				
1	YX	-18				
1	AA	-6				
